WELCOME SUBMITTERS and THANK YOU! Please add newly discovered CDs with Pre-Emphasis to the top or bottom rows of the table.  An Editor will review your submission.,,,,,,,,,,,,,,,,,,,,,,,,,
Contents of this table courtesy of many dedicated CD music fans & members at Steve Hoffman forum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,ARTIST,RELEASE TITLE,LABEL,CATALOG ID#,CTRY MFR,CTRY MKT,MFR,MATRIX,PE FLAG,Submitter,NOTES,Discogs URL,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,Willie Nelson,Angel Eyes,CBS/Sony,35DP 150,,,,35DP-150 11A3 +++++,,jfeldt,"JASRAC 3/4 black face,  inner ring: CSR COMPACT DISC 3x",,,,,,,,,,,,,,
add >,(Compilation),Reference Classics,Reference Recordings,RR-S1CD,,,"DISC MFG, INC.","W.O. # 20000T-3 RR S1CD DISC MFG., INC. (A1)",SUBQ,jfeldt,only track 8 and 20 have PE,,,,,,,,,,,,,,
add >,The Chick Corea Elektric Band,Eye of the Beholder,GRP Digital,VDJ-1146,,,Victor Musical Industries Inc,VDJ-1146-1 A1C 2 tetris blocks,SUBQ,jfeldt,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
,Bob Dylan,Greatest Hits,Columbia,CK 9463,US,US,CMU,1A CK09463 06,TOC,Blue Gecko,,,,,,,,,,,,,,,
,Bob Dylan,Greatest Hits,Columbia,"CK 9463, DIDP 050099",US,US,CMU,CK-09463 F2 1A 43,TOC,Blue Gecko,,,,,,,,,,,,,,,
,Bob Dylan,Real Live {V01},Columbia,"CK 39944, DIDP 50196",JP,US,Sony,32DP-196 11 +++++,SUBQ,Blue Gecko,Neat Font Reverse--CSR-3X Hub,,,,,,,,,,,,,,
,Bob James & Earl Klugh,One on One,CBS; Columbia; Tappan Zee,"CK 36241, DIDP 50010",JP,US,Sony,35DP-10-2 1B5,SUBQ,Blue Gecko,Crude Font Reverse--CSR-3X Hub,,,,,,,,,,,,,,
,Boston,Don't Look Back,Epic/Sony,35.8P-7,,,,35 8P-7-6 1A1,Unknown,Downsampled,Epic/Sony 35.8P-7 - Matrix: 35 8P-7-6 1A1 “Gold-Face” pressing / (not Epic EK 35050),,,,,,,,,,,,,,
,Boz Scaggs,Hits!,,35DP 11,,,,,Unknown,Downsampled,,,,,,,,,,,,,,,
,Boz Scaggs,Middle Man,,35DP 3,,,,,Unknown,Downsampled,,,,,,,,,,,,,,,
,Boz Scaggs,Silk Degrees,,35DP 20,,,,,Unknown,Downsampled,,,,,,,,,,,,,,,
,Boz Scaggs,Silk Degrees,,,,,,,SUBQ,Downsampled,35DP Japan For Europe (SUBQ),,,,,,,,,,,,,,
,Bruce Cockburn,Stealing Fire,A&M; AM+; Gold Mountain,"CD 80012
Boz Scaggs
 Bruce Cockburn",JP,US,Denon,CD-80012 2B4 65,SUBQ,Blue Gecko,Slab Dot Matrix,,,,,,,,,,,,,,
,Bruce Springsteen,Born to Run,CBS; Columbia,"CK 33795, DIDP 50021",JP,US,Sony,35DP-21-1 1A1,SUBQ,Blue Gecko,Crude Font Reverse--Sony Hub,,,,,,,,,,,,,,
,Bruce Springsteen,Born to Run,CBS; Columbia,"CK 33795, DIDP 50021",JP,US,Sony,35DP-21 41A2,SUBQ,Blue Gecko,Neat Font Reverse--CSR-3X Hub,,,,,,,,,,,,,,
,Bruce Springsteen,Born to Run,CBS; Columbia,"CK 33795, DIDP 50021",JP,US,Sony,35DP-21 41A6 +++++,SUBQ,Blue Gecko,Neat Font Reverse--CSR-3X Hub,,,,,,,,,,,,,,
,Bruce Springsteen,Darkness on the Edge of Town,Columbia,"CK35318, DIDP 20027",JP,US,Sony,DIDP-20027 21A3 +++++,Unknown,Downsampled,"Japan for USA - Columbia CK35318, DIDP 20027, matrix DIDP-20027 21A3 +++++, CSR x3 hub",,,,,,,,,,,,,,
,Bruce Springsteen,Darkness On The Edge Of Town,CBS/Sony,32DP 351,,,,,Unknown,Downsampled,,,,,,,,,,,,,,,
,Bruce Springsteen,Darkness On The Edge Of Town,,,,,,,Unknown,Downsampled,Japan CBS For Europe DIDP matrix),,,,,,,,,,,,,,
,Bruno Campanella,"Paisiello, Il Barbiere di Siviglia",Frequenz,CAE 2,JP,IT,Denon,CAE-2-1 1A1 5X,SUBQ,Blue Gecko,Slab Dot Matrix,,,,,,,,,,,,,,
,Bruno Walter,"Brahms, Symphony No. 1 in C Minor, Op. 68",CBS Masterworks,"MK 42020, DIDC 50085",US,US,DADC,DIDC 50085 121A2,TOC,Blue Gecko,,,,,,,,,,,,,,,
,Bruno Walter,"Mozart, Symphonies Nos. 40 & 41",CBS Masterworks,"MK 42028, DIDC 50075",US,US,DADC,DIDC 50075 31A1,TOC,Blue Gecko,,,,,,,,,,,,,,,
,Bruno Walter & Columbia Symph Orchestra,Schubert - Sym. No. 9 'The Great',CBS Masterworks,MBK-44828,US,,DADC,DIDC-070497 1 * ** *****,TOC,SimonSaysCake,Made in USA by Digital Audio Disc Corp,,,,,,,,,,,,,,
,Bruno Walter w/ Columbia Symphony Orchestra,"Symphonies 35, 39",,MK 42026 / DIDC 50073,,,,,Unknown,Downsampled,,,,,,,,,,,,,,,
,Bruno Walter w/ Columbia Symphony Orchestra,"Symphonies 40, 41",,MK 42028 / DIDC 50075,,,,,Unknown,Downsampled,,,,,,,,,,,,,,,
,Bruno Walter Wagner,"Symphony No. 8, Parsifal: Prelude & Good Friday Spell/Prelude & Karfeitagszauber",,,,,,,Unknown,Downsampled,US DADC,,,,,,,,,,,,,,
,Bruno Walter/Columbia Symphony Orchestra,Brahms: Symphony No.2,Columbia,MK 42021,,,,,Unknown,Downsampled,Columbia MK 42021 / 35DC 86,,,,,,,,,,,,,,
